,Well,Depth
957,7120/2-3 S,335.0
958,7120/5-1,318.0
959,7120/6-1,337.0
960,7120/6-2 S,344.0
961,7120/7-1,258.0
962,7120/7-2,263.0
963,7120/7-3,281.0
964,7120/8-1,295.0
965,7120/8-2,270.0
966,7120/8-3,303.0
967,7120/8-4,298.0
968,7120/9-1,343.0
969,7120/9-2,316.0
970,7120/10-1,210.0
971,7120/10-2,211.0
972,7120/12-1,192.0
973,7120/12-2,189.0
974,7120/12-3,208.0
975,7120/12-4,175.0
976,7120/12-5,210.0
977,7121/1-1,396.0
978,7121/1-1 R,396.0
979,7121/4-1,357.0
980,7121/4-2,339.0
981,7121/5-1,358.0
982,7121/5-2,350.0
983,7121/5-3,369.0
984,7121/7-1,351.0
985,7121/7-2,347.0
986,7121/9-1,351.0
987,7122/2-1,386.0
988,7122/4-1,368.0
989,7122/6-1,424.0
990,7122/6-2,431.0
991,7122/7-1,405.0
992,7122/7-2,395.0
993,7122/7-4 S,395.0
994,7122/7-5,394.0
995,7122/7-5 A,394.0
996,7123/4-1 A,436.0
997,7123/4-1 S,436.0
998,7124/3-1,296.0
999,7124/4-1 S,343.0
1000,7125/1-1,276.0
1001,7125/4-1,316.0
1002,7125/4-2,317.0
1003,7128/4-1,394.0
1004,7128/6-1,359.0
1005,7216/11-1 S,385.0
1006,7219/8-1 S,393.0
1007,7219/9-1,379.0
1008,7220/6-1,394.0
1009,7220/8-1,397.0
1010,7222/6-1 S,387.0
1011,7222/11-1,379.0
1012,7223/5-1,363.0
1013,7224/6-1,289.0
1014,7224/7-1,293.0
1015,7226/2-1,370.0
1016,7226/11-1,261.0
1017,7228/1-1,391.0
1018,7228/7-1 A,311.0
1019,7228/7-1 B,311.0
1020,7228/7-1 S,311.0
1021,7228/9-1 S,302.0
1022,7229/11-1,307.0
1023,7316/5-1,473.0
1024,7321/7-1,499.0
1025,7321/8-1,491.0
1026,7321/9-1,483.0
1027,7324/10-1,431.0
